state,median_income,standard_error,median_income_2,standard_error_2,median_income_3,standard_error_3,median_income_4,standard_error_4,median_income_5,standard_error_5,median_income_6,standard_error_6,median_income_7,standard_error_7,median_income_8,standard_error_8,median_income_9,standard_error_9,median_income_10,standard_error_10,median_income_11,standard_error_11,median_income_12,standard_error_12,median_income_13,standard_error_13,median_income_14,standard_error_14,median_income_15,standard_error_15,median_income_16,standard_error_16,median_income_17,standard_error_17,median_income_18,standard_error_18,median_income_19,standard_error_19,median_income_20,standard_error_20,median_income_21,standard_error_21,median_income_22,standard_error_22,median_income_23,standard_error_23,median_income_24,standard_error_24,median_income_25,standard_error_25,median_income_26,standard_error_26,median_income_27,standard_error_27,median_income_28,standard_error_28,median_income_29,standard_error_29,median_income_30,standard_error_30,median_income_31,standard_error_31,median_income_32,standard_error_32,median_income_33,standard_error_33,median_income_34,standard_error_34
New York,61437,1405,58738,2233,55060,1806,51485,2336,55479,1692,49843,1657,54022,1073,54801,1453,56174,670,56252,760,56657,1063,57404,1177,57979,1016,56732,1006,55837,1138,56008,774,57091,813,56806,810,57646,1267,55053,1144,53417,946,53980,1137,51690,1121,51125,765,51862,910,52087,887,54659,925,56286,910,58884,847,56422,1303,53343,922,52336,991,50302,1113,48481,918
North Carolina,53764,1629,51439,1360,47430,1734,47745,3064,42460,2121,43438,1353,48229,1664,48250,2117,46878,644,47857,943,50370,1241,47375,970,51687,1185,51128,1032,48648,1228,48733,956,51734,1289,53423,1124,53703,1384,52762,1505,53479,1368,54271,1537,50048,1390,48265,1074,47155,1068,46584,1033,46165,877,46911,991,49368,967,47641,1046,46016,1096,45719,1460,45646,1245,45272,1411
North Dakota,60184,2290,58141,3274,61568,3181,60950,3556,54495,2950,58296,2219,60130,3158,56150,2544,56017,1944,55327,1324,54644,1482,48863,1673,51854,1501,49834,1590,52733,1112,48312,1100,48522,1090,50187,1485,47085,1994,44615,1736,47244,2031,47974,1805,45525,1905,45322,1787,46007,1366,45222,1511,44513,1602,45013,1787,47167,1688,47011,1969,45644,1830,44981,1642,45123,1722,45717,2285
Ohio,53985,1894,53975,1982,50329,1412,52290,2522,47808,1428,46388,1801,47634,1280,50513,1644,51323,700,52320,945,56836,1256,54640,754,54325,1286,54707,1241,56792,1214,56966,1037,56645,896,59899,1021,56925,1426,57307,2320,53918,1334,51937,1620,54684,1546,51055,936,51188,1077,52679,985,51214,1305,53474,1283,54257,1225,54129,1241,52108,1122,52524,1230,53569,1200,50894,1083
Oklahoma,50943,1652,47672,1961,47850,2813,47565,3547,45107,4209,50603,2949,51695,2555,47450,2282,51322,1274,51403,1038,50026,1682,46233,1901,46266,1781,50335,1426,46851,1019,48657,818,48273,935,45218,989,47114,2149,49654,1814,46781,1529,41826,1660,41177,1377,43259,1944,42966,2441,42413,1803,43773,1855,43445,1860,44247,2311,46181,1475,43855,1787,43809,1822,45123,1626,46547,1580
Oregon,59135,2622,61603,2404,59688,3039,50488,2975,58018,2083,54124,2436,54971,1714,55705,1657,54924,1839,57663,1532,58152,1571,56058,1662,54271,1710,52088,1335,54336,1259,55789,1141,55951,1019,59253,1305,58554,1805,57516,2837,55579,2668,54105,1942,56926,1518,50415,1808,54220,1898,53556,3420,51901,1869,52170,1721,53337,2683,54145,2244,50622,2208,51809,2096,46589,2217,47099,1640
Pennsylvania,60979,2036,61152,2255,55934,2297,56832,3025,55592,1655,54258,1469,53247,1807,53186,1660,53888,1048,57301,657,56070,1079,57708,1034,56903,916,56042,1320,56026,1015,56718,1061,58969,980,58803,982,54430,1645,57439,1590,55982,1438,53201,1485,54031,1069,51393,1048,50714,1136,50126,1119,52206,1056,51678,1226,53638,1279,52182,970,51402,1094,49789,1035,48681,1145,44782,1098
Rhode Island,61528,2828,56405,3288,59442,4056,58035,3969,59569,2200,58608,2677,52312,2436,56829,1904,57761,1618,59351,2674,62753,2140,63968,2170,60816,1789,60908,2506,58346,1630,56610,1168,61984,1555,58832,1419,61581,2854,59899,3912,51923,3335,56382,1579,55338,2149,51172,2117,54827,2531,51048,2404,53012,1876,56958,2094,56319,2531,58231,3091,57200,2911,55504,2217,52401,1915,47568,1866
South Carolina,54336,3153,46946,2295,45549,2275,44887,2461,45079,3060,46415,2255,42764,1816,45903,1607,45978,1245,46993,1250,51180,1798,47161,1603,49443,1480,49162,1297,50214,1463,50464,1634,51156,1387,52381,1306,52561,2491,48977,1929,51125,2401,52844,2142,45497,2191,47835,1826,42628,1571,46261,2405,47213,1955,51197,2464,44492,1980,49823,2244,50644,2297,45943,1807,42635,1834,44700,2056
South Dakota,57450,3075,55761,2637,53785,3591,55036,3006,56108,3122,51656,1782,50381,2291,49925,2251,51263,1442,57522,1109,53733,1042,54077,1953,53033,1683,52232,1264,51575,1310,50545,1272,53779,1160,50854,958,51647,1361,48269,1491,44309,1709,45010,1529,46290,2520,47654,1899,45383,1702,44048,1122,42358,1341,43778,1529,45071,1868,43502,1372,42763,1207,41613,1389,38605,1494,42719,2043
Tennessee,51344,1387,47928,1730,44319,2358,44679,3539,43791,3023,44945,2516,45106,2727,42483,1384,45325,1105,44258,1350,47687,1292,48441,899,48430,1464,48375,1343,48966,1541,49420,1483,48509,1072,47538,1297,52648,1888,50190,1924,45714,2026,46937,1657,45409,1984,45901,1648,41072,1360,40792,1532,42039,1573,40252,1548,42273,2440,40696,1984,42819,1607,38180,1849,37831,1185,36937,1268
Texas,58146,1407,57187,1305,54619,1363,52968,1401,54639,1662,54281,993,52327,1230,52032,1276,53108,831,51825,751,53310,810,51553,986,50908,516,52600,698,51247,994,53583,751,55391,694,53830,1094,55770,1470,52681,975,52338,1313,50416,1163,50142,992,49292,1050,47003,1003,46890,1064,47678,1076,50294,1276,48396,1045,48710,1136,49981,1288,50531,1075,50524,1162,50676,1173
Utah,67481,2237,67095,2493,64258,3276,62902,1600,64881,4263,60987,3078,59204,1770,62419,2160,65431,1776,69714,1701,61964,1410,65030,1989,67365,1601,64638,1178,64302,1177,63875,1529,64178,2170,66295,1451,66383,2328,65218,2024,63828,2664,56462,2027,57092,1438,57243,1668,58553,2032,57454,1921,48164,2336,53704,1814,57427,1896,51345,1774,53636,2414,54963,1694,53705,1494,50748,1618
Vermont,60837,1364,60246,2655,61546,3141,67504,4135,56509,3072,58103,3167,55330,2141,61568,2474,58526,1609,56525,1095,54858,1618,61879,1507,62315,1609,60138,1614,56454,1275,57386,1108,55302,1280,55203,1284,59945,2028,57965,2342,52305,2577,49327,1906,52935,1944,57381,3055,50828,1564,54945,2236,50122,2101,55408,2371,58508,2124,56564,2102,51384,2778,51445,2098,55326,2005,49694,2164
Virginia,66451,2436,62263,2470,67068,2987,67910,2823,69675,2619,67564,2264,66803,1892,66455,2163,67680,1335,69099,1613,68484,1580,67995,1895,63802,1456,64981,1418,71490,2040,66237,1722,68108,1556,65756,1485,65868,2552,63827,3232,64099,2831,59774,2224,56688,2177,60338,2454,59611,2269,64075,2280,62125,2297,62490,1867,63786,2253,63706,2574,60646,2048,62144,2246,60495,2817,58381,1924
Washington,70310,2092,68093,3294,59883,2225,65865,3489,61933,2265,65008,2351,60651,2116,61827,2268,67558,1341,63130,2253,67232,2010,65143,1481,62244,1284,63432,1357,61996,1820,60301,1287,57601,1714,59290,1688,65551,2998,69815,2030,66494,2559,55910,2451,55665,1959,53744,1907,58339,1818,56866,2092,58400,2037,57214,2208,59753,2752,63080,2010,55233,2240,56217,1987,51071,1609,55062,1811
West Virginia,44354,1994,43365,3172,40098,2225,44378,3559,41464,2772,45529,2900,44618,1884,47091,2772,45294,1021,42354,1565,48724,1145,45734,1445,44791,1322,42405,1490,42754,1296,39182,933,40226,914,41006,899,42233,1656,39315,1148,41017,1962,38487,1983,38938,1362,37767,1951,36685,1605,34004,1496,39793,1578,39442,2035,40527,1576,37764,1815,34789,1573,34432,1893,34011,1762,37071,1338
Wisconsin,59817,1845,56125,1506,58882,2184,53298,2709,56937,2409,55487,1787,55539,2205,55429,1580,57317,902,57076,950,59357,1204,61535,1364,54875,1448,58108,1699,60379,1276,61262,1263,61473,1522,62863,1327,65831,2707,60843,1871,59083,1716,60979,2713,64096,2063,56717,2039,51975,2193,55873,1840,53523,1750,54718,1598,54447,2318,57710,1908,53313,2851,55274,1679,49466,2471,45655,1807
Wyoming,57829,3122,61695,2050,56459,2047,69491,4109,57393,3264,60121,2948,58154,2429,57465,2401,58696,2384,59458,1758,56425,1578,55998,1789,54958,1853,57683,1456,55533,1305,53068,1303,53844,1581,55252,1472,53694,1852,51896,1937,49873,2150,47186,1308,49344,1778,53114,2962,48173,1909,50674,2382,49942,2376,52489,1766,55191,2410,51551,2137,55781,2948,49270,1805,46987,2232,52419,1609
